Segmentname_FV2310,Segmentgruppe_FV2310,Segment_FV2310,Datenelement_FV2310,Segment ID_FV2310,Code_FV2310,Qualifier_FV2310,Beschreibung_FV2310,Bedingungsausdruck_FV2310,Bedingung_FV2310,Unnamed: 0_FV2310,Änderung,changed_entries,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Qualifier_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Unnamed: 0_FV2404
Erforderliches Messprodukt der Marktlokation,SG27,,,,,,,Muss [2003] ∧ [7] ∧ [34],"[7] Wenn in derselben Nachricht eine SG27 mit Z16 (Erforderliches Messprodukt der Tranche) in LIN DE1229 nicht vorhanden
[34] Wenn in derselben Nachricht eine SG27 mit Z53 (Erforderliches Messprodukt der Netzlokation) in LIN DE1229 nicht vorhanden
[2003] Für 11-stellige ID im SG11 LOC+172 (Meldepunkt) DE3225 genau einmal anzugeben",54,,,Erforderliches Messprodukt der Marktlokation,SG27,,,,,,,Muss [2003] ∧ [7] ∧ [34],"[7] Wenn in derselben Nachricht eine SG27 mit Z16 (Erforderliches Messprodukt der Tranche) in LIN DE1229 nicht vorhanden
[34] Wenn in derselben Nachricht eine SG27 mit Z53 (Erforderliches Messprodukt der Netzlokation) in LIN DE1229 nicht vorhanden
[2003] Für 11-stellige ID im SG11 LOC+172 (Meldepunkt) DE3225 genau einmal anzugeben",54
Erforderliches Messprodukt der Marktlokation,SG27,LIN,,00021,,,,Muss,,55,,,Erforderliches Messprodukt der Marktlokation,SG27,LIN,,00021,,,,Muss,,55
Erforderliches Messprodukt der Marktlokation,SG27,LIN,1082,00021,,,Positionsnummer,X [903],[903] Format: Möglicher Wert: 1,56,,,Erforderliches Messprodukt der Marktlokation,SG27,LIN,1082,00021,,,Positionsnummer,X [903],[903] Format: Möglicher Wert: 1,56
Erforderliches Messprodukt der Marktlokation,SG27,LIN,1229,00021,Marktlokation,,,Z27,,57,,,Erforderliches Messprodukt der Marktlokation,SG27,LIN,1229,00021,Marktlokation,,,Z27,,57
Erforderliches Messprodukt der Marktlokation,SG27,PIA,,00022,,,,Muss,,58,,,Erforderliches Messprodukt der Marktlokation,SG27,PIA,,00022,,,,Muss,,58
Erforderliches Messprodukt der Marktlokation,SG27,PIA,4347,00022,,,,5,,59,,,Erforderliches Messprodukt der Marktlokation,SG27,PIA,4347,00022,,,,5,,59
Erforderliches Messprodukt der Marktlokation,SG27,PIA,7140,00022,,,Messprodukt-Code,X [11],"[11] Es sind nur die Messprodukt-Codes erlaubt, die in der Codeliste der Konfigurationen im Kapitel 4.6 ""Codelisten der Messprodukte Strom für ESA"", in der Spalte ""Ebene"" das Objekt ""Marktlokation"" angegeben ist.",60,,,Erforderliches Messprodukt der Marktlokation,SG27,PIA,7140,00022,,,Messprodukt-Code,X [11],"[11] Es sind nur die Messprodukt-Codes erlaubt, die in der Codeliste der Konfigurationen im Kapitel 4.6 ""Codelisten der Messprodukte Strom für ESA"", in der Spalte ""Ebene"" das Objekt ""Marktlokation"" angegeben ist.",60
Erforderliches Messprodukt der Marktlokation,SG27,PIA,7143,00022,Z11,,Messprodukt,X,,61,,,Erforderliches Messprodukt der Marktlokation,SG27,PIA,7143,00022,Z11,,Messprodukt,X,,61
Erforderliches Messprodukt der Tranche,SG27,,,,,,,Muss [2003] ∧ [8] ∧ [34],"[8] Wenn in derselben Nachricht eine SG27 mit Z27 (Erforderliches Messprodukt der Marktlokation) in LIN DE1229 nicht vorhanden
[34] Wenn in derselben Nachricht eine SG27 mit Z53 (Erforderliches Messprodukt der Netzlokation) in LIN DE1229 nicht vorhanden
[2003] Für 11-stellige ID im SG11 LOC+172 (Meldepunkt) DE3225 genau einmal anzugeben",62,,,Erforderliches Messprodukt der Tranche,SG27,,,,,,,Muss [2003] ∧ [8] ∧ [34],"[8] Wenn in derselben Nachricht eine SG27 mit Z27 (Erforderliches Messprodukt der Marktlokation) in LIN DE1229 nicht vorhanden
[34] Wenn in derselben Nachricht eine SG27 mit Z53 (Erforderliches Messprodukt der Netzlokation) in LIN DE1229 nicht vorhanden
[2003] Für 11-stellige ID im SG11 LOC+172 (Meldepunkt) DE3225 genau einmal anzugeben",62
Erforderliches Messprodukt der Tranche,SG27,LIN,,00023,,,,Muss,,63,,,Erforderliches Messprodukt der Tranche,SG27,LIN,,00023,,,,Muss,,63
