,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
324,OBIS-Kennzahl der Tranche,SG8,PIA,7143,SRW,,OBIS-Kennzahl,X,OBIS-Kennzahl
325,OBIS Daten für Netzbetreiber relevant,SG10,,,,,,Muss,
326,OBIS Daten für Netzbetreiber relevant,SG10,,,,,,Muss,
327,OBIS Daten für Netzbetreiber relevant,SG10,CCI,,,,,Muss,
328,OBIS Daten für Netzbetreiber relevant,SG10,CCI,7037,ZA8,,NB,X,NB
329,Verwendungszweck der Werte,SG10,,,,,,,
330,Verwendungszweck der Werte,SG10,,,,,,Muss,
331,Verwendungszweck der Werte,SG10,CAV,,,,,Muss,
332,Verwendungszweck der Werte,SG10,CAV,7111,Z85,,Bilanzkreisabrechnung,X [1P0..1],Bilanzkreisabrechnung
333,Verwendungszweck der Werte,SG10,CAV,7111,Z92,,Übermittlung an dasHKNR,,
334,OBIS Daten für Lieferant relevant,SG10,,,,,,Muss,
335,OBIS Daten für Lieferant relevant,SG10,,,,,,Muss,
336,OBIS Daten für Lieferant relevant,SG10,CCI,,,,,Muss,
337,OBIS Daten für Lieferant relevant,SG10,CCI,7037,ZA7,,LF,X,LF
338,Verwendungszweck der Werte,SG10,,,,,,,
339,Verwendungszweck der Werte,SG10,,,,,,Muss,
340,Verwendungszweck der Werte,SG10,CAV,,,,,Muss,
341,Verwendungszweck der Werte,SG10,CAV,7111,Z85,,Bilanzkreisabrechnung,X [1P1..1],Bilanzkreisabrechnung
342,Verwendungszweck der Werte,SG10,CAV,7111,Z47,,Endkundenabrechnung,X [1P1..1],
343,OBIS Daten für Übertragungsnetzbetreiber relevant,SG10,,,,,,Muss,
344,OBIS Daten für Übertragungsnetzbetreiber relevant,SG10,,,,,,Muss,
345,OBIS Daten für Übertragungsnetzbetreiber relevant,SG10,CCI,,,,,Muss,
346,OBIS Daten für Übertragungsnetzbetreiber relevant,SG10,CCI,7037,ZA9,,ÜNB,X,ÜNB
347,Verwendungszweck der Werte,SG10,,,,,,,
348,Verwendungszweck der Werte,SG10,,,,,,Muss,
349,Verwendungszweck der Werte,SG10,CAV,,,,,Muss,
350,Verwendungszweck der Werte,SG10,CAV,7111,Z85,,Bilanzkreisabrechnung,X [1P0..1],Bilanzkreisabrechnung
351,Verwendungszweck der Werte,SG10,CAV,7111,ZB5,,Zur Ermittlung derAusgeglichenheit vonBilanzkreisen,X [1P1..1],
352,Daten der Steuerbaren Ressource,SG8,,,,,,Muss [205],
353,Daten der Steuerbaren Ressource,SG8,,,,,,Muss [205],
354,Daten der Steuerbaren Ressource,SG8,SEQ,,,,,Muss,
355,Daten der Steuerbaren Ressource,SG8,SEQ,1229,Z62,,Daten der Steuerbaren,X,Daten der Steuerbaren
356,Referenz auf die ID der Steuerbaren Ressource,SG8,,,,,,,
357,Referenz auf die ID der Steuerbaren Ressource,SG8,,,,,,Muss,
358,Referenz auf die ID der Steuerbaren Ressource,SG8,RFF,,,,,Muss,
359,Referenz auf die ID der Steuerbaren Ressource,SG8,RFF,1153,Z38,,Steuerbare Ressource,X,Steuerbare Ressource
360,Referenz auf die ID der Steuerbaren Ressource,SG8,RFF,1154,,,ID der Steuerbaren Ressource,X [961],
361,Steuerkanal,SG10,,,,,,Muss,
362,Steuerkanal,SG10,,,,,,Muss,
363,Steuerkanal,SG10,CCI,,,,,Muss,
364,Steuerkanal,SG10,CCI,7059,Z49,,Steuerkanal,X,Steuerkanal
365,Leistungsbeschreibung des Steuerkanals,SG10,,,,,,,
366,Leistungsbeschreibung des Steuerkanals,SG10,,,,,,Muss,
367,Leistungsbeschreibung des Steuerkanals,SG10,CAV,,,,,Muss,
368,Leistungsbeschreibung des Steuerkanals,SG10,CAV,7111,ZF2,,Leistungsbeschreibungdes Steuerkanals,X,Leistungsbeschreibungdes Steuerkanals
369,Leistungsbeschreibung des Steuerkanals,SG10,CAV,1131,Z14,,An/Aus,X,An/Aus
370,Leistungsbeschreibung des Steuerkanals,SG10,CAV,1131,Z15,,Gestuft,X,
371,Produkt-Daten der Steuerbaren Ressource,SG8,,,,,,Soll [205] ∧[336],
372,Produkt-Daten der Steuerbaren Ressource,SG8,,,,,,Soll [205] ∧[336],
373,Produkt-Daten der Steuerbaren Ressource,SG8,SEQ,,,,,Muss,
374,Produkt-Daten der Steuerbaren Ressource,SG8,SEQ,1229,Z61,,Produkt-Daten derSteuerbaren Ressource,X,Produkt-Daten derSteuerbaren Ressource
375,Referenz auf die ID der Steuerbaren Ressource,SG8,,,,,,,
376,Referenz auf die ID der Steuerbaren Ressource,SG8,,,,,,Muss,
377,Referenz auf die ID der Steuerbaren Ressource,SG8,RFF,,,,,Muss,
378,Referenz auf die ID der Steuerbaren Ressource,SG8,RFF,1153,Z38,,Steuerbare Ressource,X,Steuerbare Ressource
379,Referenz auf die ID der Steuerbaren Ressource,SG8,RFF,1154,,,ID einer Steuerbaren Ressource,X [961],
380,Produkt-Daten der Steuerbaren Ressource,SG8,,,,,,,
381,Produkt-Daten der Steuerbaren Ressource,SG8,,,,,,Muss,
382,Produkt-Daten der Steuerbaren Ressource,SG8,PIA,,,,,Muss,
383,Produkt-Daten der Steuerbaren Ressource,SG8,PIA,4347,5,,Produktidentifikation,X,Produktidentifikation
384,Produkt-Daten der Steuerbaren Ressource,SG8,PIA,7140,,,Konfigurationsprodukt-Code,X,
385,Produkt-Daten der Steuerbaren Ressource,SG8,PIA,7143,Z12,,Konfigurationsprodukt,X,Konfigurationsprodukt
386,Zugeordnete Definition,SG10,,,,,,Muss,
387,Zugeordnete Definition,SG10,,,,,,Muss,
388,Zugeordnete Definition,SG10,CCI,,,,,Muss,
389,Zugeordnete Definition,SG10,CCI,7059,Z52,,Code derSchaltzeitdefinition,X,Code derSchaltzeitdefinition
390,Zugeordnete Definition,SG10,CCI,7059,Z53,,Code derLeistungskurvendefinition,X,
391,Zugeordnete Definition,SG10,CCI,7037,,,Code der Definition,X,
392,Auftraggebender Marktpartner,SG10,,,,,,Muss,
393,Auftraggebender Marktpartner,SG10,,,,,,Muss,
394,Auftraggebender Marktpartner,SG10,CCI,,,,,Muss,
395,Auftraggebender Marktpartner,SG10,CCI,7037,ZB3,,ZugeordneterMarktpartner,X,ZugeordneterMarktpartner
396,Auftraggebender Marktpartner,SG10,,,,,,,
397,Auftraggebender Marktpartner,SG10,,,,,,Muss,
398,Auftraggebender Marktpartner,SG10,CAV,,,,,Muss,
399,Auftraggebender Marktpartner,SG10,CAV,7111,Z88,,NB,X,NB
400,Auftraggebender Marktpartner,SG10,CAV,7111,Z89,,LF,X,
401,Auftraggebender Marktpartner,SG10,CAV,1131,,,MP-ID,X,
402,Produkt-Daten für Marktrolle relevant,SG10,,,,,,Muss,
403,Produkt-Daten für Marktrolle relevant,SG10,,,,,,Muss,
404,Produkt-Daten für Marktrolle relevant,SG10,CCI,,,,,Muss,
405,Produkt-Daten für Marktrolle relevant,SG10,CCI,7037,ZA8,,NB,X [1P0..1],NB
406,Produkt-Daten für Marktrolle relevant,SG10,CCI,7037,ZA7,,LF,X [1P0..1],
407,Daten der Messlokation,SG8,,,,,,Muss [345] ,
408,Daten der Messlokation,SG8,,,,,,Muss [345] ,
409,Daten der Messlokation,SG8,SEQ,,,,,Muss,
410,Daten der Messlokation,SG8,SEQ,1229,Z18,,Daten der Messlokation,X,Daten der Messlokation
411,Referenz auf die ID der Messlokation,SG8,,,,,,,
412,Referenz auf die ID der Messlokation,SG8,,,,,,Muss,
413,Referenz auf die ID der Messlokation,SG8,RFF,,,,,Muss,
414,Referenz auf die ID der Messlokation,SG8,RFF,1153,Z19,,Messlokation,X,Messlokation
415,Referenz auf die ID der Messlokation,SG8,RFF,1154,,,ID der Messlokation,X [951],
416,Spannungsebene der Messlokation,SG10,,,,,,Muss,
417,Spannungsebene der Messlokation,SG10,,,,,,Muss,
418,Spannungsebene der Messlokation,SG10,CCI,,,,,Muss,
419,Spannungsebene der Messlokation,SG10,CCI,7037,E04,,Spannungsebene derMesslokation,X,Spannungsebene derMesslokation
420,Spannungsebene der Messlokation,SG10,,,,,,,
421,Spannungsebene der Messlokation,SG10,,,,,,Muss,
422,Spannungsebene der Messlokation,SG10,CAV,,,,,Muss,
423,Spannungsebene der Messlokation,SG10,CAV,7111,E03,,Höchstspannung,X,Höchstspannung
424,Spannungsebene der Messlokation,SG10,CAV,7111,E04,,Hochspannung,X,
425,Spannungsebene der Messlokation,SG10,CAV,7111,E05,,Mittelspannung,X,
426,Spannungsebene der Messlokation,SG10,CAV,7111,E06,,Niederspannung,X,
427,Zähleinrichtungsdaten,SG8,,,,,,Soll [336],
428,Zähleinrichtungsdaten,SG8,,,,,,Soll [336],
429,Zähleinrichtungsdaten,SG8,SEQ,,,,,Muss,
430,Zähleinrichtungsdaten,SG8,SEQ,1229,Z03,,Zähleinrichtungsdaten,X,Zähleinrichtungsdaten
431,Referenz auf die ID einer Messlokation,SG8,,,,,,,
432,Referenz auf die ID einer Messlokation,SG8,,,,,,Muss,
433,Referenz auf die ID einer Messlokation,SG8,RFF,,,,,Muss,
434,Referenz auf die ID einer Messlokation,SG8,RFF,1153,Z19,,Messlokation,X,Messlokation
435,Referenz auf die ID einer Messlokation,SG8,RFF,1154,,,ID einer Messlokation,X [951],
436,Referenz auf das Smartmeter-Gateway,SG8,,,,,,,
437,Referenz auf das Smartmeter-Gateway,SG8,,,,,,Soll [166] ∧[215],
438,Referenz auf das Smartmeter-Gateway,SG8,RFF,,,,,Soll [166] ∧[215],
439,Referenz auf das Smartmeter-Gateway,SG8,RFF,1153,Z14,,Smartmeter-Gateway,X,Smartmeter-Gateway
440,Referenz auf das Smartmeter-Gateway,SG8,RFF,1154,,,Identifikation / Nummer desSmartmeter-Gateways,X,
441,Zählertyp,SG10,,,,,,Muss,
442,Zählertyp,SG10,,,,,,Muss,
443,Zählertyp,SG10,CCI,,,,,Muss,
444,Zählertyp,SG10,CCI,7037,E13,,Zählertyp,X,Zählertyp
445,Zählertyp,SG10,,,,,,,
446,Zählertyp,SG10,,,,,,Muss,
447,Zählertyp,SG10,CAV,,,,,Muss,
448,Zählertyp,SG10,CAV,7111,AHZ,,analoger Haushaltszähler(Drehstrom),X,analoger Haushaltszähler(Drehstrom)
449,Zählertyp,SG10,CAV,7111,WSZ,,analogerWechselstromzähler,X,
450,Zählertyp,SG10,CAV,7111,LAZ,,Lastgangzähler,X,
451,Zählertyp,SG10,CAV,7111,MAZ,,Maximumzähler,X,
452,Zählertyp,SG10,CAV,7111,MME,,moderneMesseinrichtung nachMsbG,X,
453,Zählertyp,SG10,CAV,7111,EHZ,,elektronischerHaushaltszähler,X,
454,Zählertyp,SG10,CAV,7111,IVA,,Individuelle Abstimmung(Sonderausstattung),X,
455,Zählertyp,SG10,CAV,7110,Z01,,EDL40,X [136],EDL40
456,Zählertyp,SG10,CAV,7110,Z02,,EDL21,X [136],
457,Zählertyp,SG10,CAV,7110,Z03,,sonstiger EHZ,X [136],
458,Zählertyp,SG10,CAV,7110,Z04,,Standard,X [346],
459,Zählertyp,SG10,CAV,7110,Z05,,MeDa-Zähler,X [346],"[136] Wenn SG10 CCI+++E13 (Zählertyp) CAV+EHZ (elektronischer Haushaltszähler) vorhanden  
[346] Wenn SG10 CCI+++E13 (Zählertyp) CAV+MME (mME) vorhanden"
460,Identifikation / Nummer des Gerätes,SG10,,,,,,,
461,Identifikation / Nummer des Gerätes,SG10,,,,,,Muss,
462,Identifikation / Nummer des Gerätes,SG10,CAV,,,,,Muss,
463,Identifikation / Nummer des Gerätes,SG10,CAV,7111,Z30,,Gerätenummer,X,Gerätenummer
464,Identifikation / Nummer des Gerätes,SG10,CAV,7110,,,Gerätenummer,X,
465,Registeranzahl,SG10,,,,,,,
466,Registeranzahl,SG10,,,,,,Muss [139],
467,Registeranzahl,SG10,CAV,,,,,Muss [139],
468,Registeranzahl,SG10,CAV,7111,ETZ,,Eintarif,X,Eintarif
469,Registeranzahl,SG10,CAV,7111,ZTZ,,Zweitarif,X,
470,Registeranzahl,SG10,CAV,7111,NTZ,,Mehrtarif,X,
471,Energierichtung,SG10,,,,,,,
472,Energierichtung,SG10,,,,,,Muss,
473,Energierichtung,SG10,CAV,,,,,Muss,
474,Energierichtung,SG10,CAV,7111,ERZ,,Einrichtungszähler,X,Einrichtungszähler
475,Energierichtung,SG10,CAV,7111,ZRZ,,Zweirichtungszähler,X,
476,Fernschaltung der Zähleinrichtung,SG10,,,,,,,
477,Fernschaltung der Zähleinrichtung,SG10,,,,,,Muss,
478,Fernschaltung der Zähleinrichtung,SG10,CAV,,,,,Muss,
479,Fernschaltung der Zähleinrichtung,SG10,CAV,7111,Z58,,Fernschaltung derZähleinrichtung,X,Fernschaltung derZähleinrichtung
480,Fernschaltung der Zähleinrichtung,SG10,CAV,7110,Z06,,vorhanden,X,vorhanden
481,Fernschaltung der Zähleinrichtung,SG10,CAV,7110,Z07,,nicht vorhanden,X,
482,Befestigungsart Zähleinrichtung,SG10,,,,,,,
483,Befestigungsart Zähleinrichtung,SG10,,,,,,,
484,Befestigungsart Zähleinrichtung,SG10,CCI,,,,,,
485,Befestigungsart Zähleinrichtung,SG10,CCI,7037,Z28,,BefestigungsartZähleinrichtung,,BefestigungsartZähleinrichtung
486,Befestigungsart Zähleinrichtung,SG10,,,,,,,
487,Befestigungsart Zähleinrichtung,SG10,,,,,,,
488,Befestigungsart Zähleinrichtung,SG10,CAV,,,,,,
489,Befestigungsart Zähleinrichtung,SG10,CAV,7111,BKE,,Stecktechnik(Befestigungs- undKontaktierungseinrichtung),,Stecktechnik(Befestigungs- undKontaktierungseinrichtung)
490,Befestigungsart Zähleinrichtung,SG10,CAV,7111,DPA,,3-Dreipunktaufhängung,,
491,Befestigungsart Zähleinrichtung,SG10,CAV,7111,HUT,,Hutschiene,,
492,Messwerterfassung an der Zähleinrichtung,SG10,,,,,,Muss [316],
493,Messwerterfassung an der Zähleinrichtung,SG10,,,,,,Muss [316],
494,Messwerterfassung an der Zähleinrichtung,SG10,CCI,,,,,Muss,
495,Messwerterfassung an der Zähleinrichtung,SG10,CCI,7037,E12,,Messwerterfassung ander Zähleinrichtung,X,Messwerterfassung ander Zähleinrichtung
496,Messwerterfassung an der Zähleinrichtung,SG10,,,,,,,
497,Messwerterfassung an der Zähleinrichtung,SG10,,,,,,Muss,
498,Messwerterfassung an der Zähleinrichtung,SG10,CAV,,,,,Muss,
499,Messwerterfassung an der Zähleinrichtung,SG10,CAV,7111,AMR,,fernauslesbare Zähler,X,fernauslesbare Zähler
500,Messwerterfassung an der Zähleinrichtung,SG10,CAV,7111,MMR,,manuell ausgeleseneZähler,X,
501,OBIS-Daten der Zähleinrichtung / Smartmeter-Gateway,SG8,,,,,,Soll [336],
502,OBIS-Daten der Zähleinrichtung / Smartmeter-Gateway,SG8,,,,,,Soll [336],
503,OBIS-Daten der Zähleinrichtung / Smartmeter-Gateway,SG8,SEQ,,,,,Muss,
504,OBIS-Daten der Zähleinrichtung / Smartmeter-Gateway,SG8,SEQ,1229,Z20,,OBIS-Daten derZähleinrichtung,X,OBIS-Daten derZähleinrichtung
505,Referenz auf die Gerätenummer,SG8,,,,,,,
506,Referenz auf die Gerätenummer,SG8,,,,,,Muss [665],
507,Referenz auf die Gerätenummer,SG8,RFF,,,,,Muss [665],
508,Referenz auf die Gerätenummer,SG8,RFF,1153,MG,,Gerätenummer desZählers,X [441],Gerätenummer desZählers
509,Referenz auf die Gerätenummer,SG8,RFF,1153,Z14,,Smartmeter-Gateway,X,[441] Wenn im SG8+SEQ+Z03 (Zähleinrichtungsdaten) für die in diesem RFF DE1154 genannte Gerätenummer eines Zählers das RFF+Z14 (Referenz auf das Smartmeter-Gateway) nicht vorhanden ist
510,Referenz auf die Gerätenummer,SG8,RFF,1154,,,Gerätenummer,X,
511,Referenz auf die ID einer Messlokation,SG8,,,,,,,
512,Referenz auf die ID einer Messlokation,SG8,,,,,,Muss,
513,Referenz auf die ID einer Messlokation,SG8,RFF,,,,,Muss,
514,Referenz auf die ID einer Messlokation,SG8,RFF,1153,Z19,,Messlokation,X,Messlokation
515,Referenz auf die ID einer Messlokation,SG8,RFF,1154,,,ID einer Messlokation,X [951],
516,Referenz auf die ID einer Marktlokation,SG8,,,,,,,
517,Referenz auf die ID einer Marktlokation,SG8,,,,,,Muss [402]∧ [420] ∧[651],
518,Referenz auf die ID einer Marktlokation,SG8,RFF,,,,,Muss [402]∧ [420] ∧[651],
519,Referenz auf die ID einer Marktlokation,SG8,RFF,1153,Z18,,Marktlokation,X,Marktlokation
520,Referenz auf die ID einer Marktlokation,SG8,RFF,1154,,,ID einer Marktlokation,X [950],
521,Konfigurations-ID,SG8,,,,,,,
522,Konfigurations-ID,SG8,,,,,,Muss [402]∧ [420],
523,Konfigurations-ID,SG8,RFF,,,,,Muss [402]∧ [420],
524,Konfigurations-ID,SG8,RFF,1153,AGK,,Anwendungsreferenznummer,X,Anwendungsreferenznummer
525,Konfigurations-ID,SG8,RFF,1154,,,"Referenz, Identifikation",X,
526,OBIS-Kennzahl der Zähleinrichtung / Smartmeter-Gateway,SG8,,,,,,,
527,OBIS-Kennzahl der Zähleinrichtung / Smartmeter-Gateway,SG8,,,,,,Muss,
528,OBIS-Kennzahl der Zähleinrichtung / Smartmeter-Gateway,SG8,PIA,,,,,Muss,
529,OBIS-Kennzahl der Zähleinrichtung / Smartmeter-Gateway,SG8,PIA,4347,5,,Produktidentifikation,X,Produktidentifikation
530,OBIS-Kennzahl der Zähleinrichtung / Smartmeter-Gateway,SG8,PIA,7140,,,OBIS-Kennzahl der,X [323],
531,OBIS-Kennzahl der Zähleinrichtung / Smartmeter-Gateway,SG8,PIA,7143,SRW,,OBIS-Kennzahl,X,OBIS-Kennzahl
532,Wertegranularität,SG10,,,,,,Muss [256],
533,Wertegranularität,SG10,,,,,,Muss [256],
534,Wertegranularität,SG10,CCI,,,,,Muss,
535,Wertegranularität,SG10,CCI,7037,ZE4,,Wertegranularität,X,Wertegranularität
536,Wertegranularität,SG10,,,,,,,
537,Wertegranularität,SG10,,,,,,Muss,
538,Wertegranularität,SG10,CAV,,,,,Muss,
539,Wertegranularität,SG10,CAV,7111,ZD9,,Jährlich,X,Jährlich
540,Wertegranularität,SG10,CAV,7111,ZE8,,Halbjährlich,X,
541,Wertegranularität,SG10,CAV,7111,ZE9,,Quartalsweise,X,
542,Wertegranularität,SG10,CAV,7111,ZB7,,Monatlich,X,
543,Zugeordnete Zählzeitdefinition,SG10,,,,,,Muss [390]∧ [391] ∧[327],
544,Zugeordnete Zählzeitdefinition,SG10,,,,,,Muss [390]∧ [391] ∧[327],
545,Zugeordnete Zählzeitdefinition,SG10,CCI,,,,,Muss,
546,Zugeordnete Zählzeitdefinition,SG10,CCI,7059,Z39,,Code derZählzeitdefinition,X,Code derZählzeitdefinition
547,Zugeordnete Zählzeitdefinition,SG10,CCI,7037,,,Code der Zählzeitdefinition,X,
548,Zugeordnetes Zählzeitregister ,SG10,,,,,,Muss [421],
549,Zugeordnetes Zählzeitregister ,SG10,,,,,,Muss [421],
550,Zugeordnetes Zählzeitregister ,SG10,CCI,,,,,Muss,
551,Zugeordnetes Zählzeitregister ,SG10,CCI,7059,Z38,,Code desZählzeitregisters,X,Code desZählzeitregisters
552,Zugeordnetes Zählzeitregister ,SG10,CCI,7037,,,Code des Zählzeitregisters,X,
553,Vor- und Nachkommastellen des Zählwerks,SG10,,,,,,Soll [336],
554,Vor- und Nachkommastellen des Zählwerks,SG10,,,,,,Soll [336],
555,Vor- und Nachkommastellen des Zählwerks,SG10,CCI,,,,,Muss,
556,Vor- und Nachkommastellen des Zählwerks,SG10,CCI,7059,11,,Produkt,X,Produkt
557,Vor- und Nachkommastellen des Zählwerks,SG10,CCI,7037,Z33,,Vor- undNachkommastellen desZählwerkes,X,Vor- undNachkommastellen desZählwerkes
558,Vor- und Nachkommastellen des Zählwerks,SG10,,,,,,,
559,Vor- und Nachkommastellen des Zählwerks,SG10,,,,,,Muss,
560,Vor- und Nachkommastellen des Zählwerks,SG10,CAV,,,,,Muss,
561,Vor- und Nachkommastellen des Zählwerks,SG10,CAV,7110,,,Angabe der Vorkommastelle,X,
562,Vor- und Nachkommastellen des Zählwerks,SG10,CAV,7110,,,Angabe der Nachkommastelle,X,
563,Bezeichnung des Zählwerks auf dem Gerät,SG10,,,,,,Soll [336],
564,Bezeichnung des Zählwerks auf dem Gerät,SG10,,,,,,Soll [336],
565,Bezeichnung des Zählwerks auf dem Gerät,SG10,CCI,,,,,Muss,
566,Bezeichnung des Zählwerks auf dem Gerät,SG10,CCI,7037,Z63,,Lokale Kennzeichnung zuKontrollzwecken,X,Lokale Kennzeichnung zuKontrollzwecken
567,Bezeichnung des Zählwerks auf dem Gerät,SG10,CCI,7036,,,Bezeichnung des Zählwerks aufdem Gerät,X,
568,Schwachlastfähigkeit,SG10,,,,,,Muss [256]∧ [312],
569,Schwachlastfähigkeit,SG10,,,,,,Muss [256]∧ [312],
570,Schwachlastfähigkeit,SG10,CCI,,,,,Muss,
571,Schwachlastfähigkeit,SG10,CCI,7059,Z10,,Schwachlastfähigkeit,X,Schwachlastfähigkeit
572,Schwachlastfähigkeit,SG10,CCI,7037,Z59,,Nicht-Schwachlast fähig,X,Nicht-Schwachlast fähig
573,Schwachlastfähigkeit,SG10,CCI,7037,Z60,,Schwachlast fähig,X,
574,Wandlerdaten,SG8,,,,,,Soll [336] ∧[345],
575,Wandlerdaten,SG8,,,,,,Soll [336] ∧[345],
576,Wandlerdaten,SG8,SEQ,,,,,Muss,
577,Wandlerdaten,SG8,SEQ,1229,Z04,,Wandler-Daten,X,Wandler-Daten
578,Referenz auf die Gerätenummer,SG8,,,,,,,
579,Referenz auf die Gerätenummer,SG8,,,,,,Muss,
580,Referenz auf die Gerätenummer,SG8,RFF,,,,,Muss,
581,Referenz auf die Gerätenummer,SG8,RFF,1153,MG,,Gerätenummer desZählers,X,Gerätenummer desZählers
582,Referenz auf die Gerätenummer,SG8,RFF,1154,,,Gerätenummer,X,
583,Wandler,SG10,,,,,,Muss,
584,Wandler,SG10,,,,,,Muss,
585,Wandler,SG10,CCI,,,,,Muss,
586,Wandler,SG10,CCI,7037,Z25,,Wandler,X,Wandler
587,Identifikation / Nummer des Gerätes,SG10,,,,,,,
588,Identifikation / Nummer des Gerätes,SG10,,,,,,Muss [2317]⊻ [2318],
589,Identifikation / Nummer des Gerätes,SG10,CAV,,,,,Muss [2317]⊻ [2318],
590,Identifikation / Nummer des Gerätes,SG10,CAV,7111,Z30,,Gerätenummer,X,Gerätenummer
591,Identifikation / Nummer des Gerätes,SG10,CAV,7110,,,Gerätenummer,X,
592,Wandlertyp und Faktor,SG10,,,,,,,
593,Wandlertyp und Faktor,SG10,,,,,,Muss,
594,Wandlertyp und Faktor,SG10,CAV,,,,,Muss,
595,Wandlertyp und Faktor,SG10,CAV,7111,MIW,,Messwandlersatz Strom,X,Messwandlersatz Strom
596,Wandlertyp und Faktor,SG10,CAV,7111,MPW,,Kombimesswandlersatz(Strom und Spannung),X,
597,Wandlertyp und Faktor,SG10,CAV,7110,,,Wandlerfaktor,X [902][141],
598,Kommunikationseinrichtun gsdaten,SG8,,,,,,Soll [336] ∧[345],
599,Kommunikationseinrichtun gsdaten,SG8,,,,,,Soll [336] ∧[345],
600,Kommunikationseinrichtun gsdaten,SG8,SEQ,,,,,Muss,
601,Kommunikationseinrichtun gsdaten,SG8,SEQ,1229,Z05,,Kommunikationseinrichtungsdaten,X,Kommunikationseinrichtungsdaten
602,Referenz auf die Gerätenummer,SG8,,,,,,,
603,Referenz auf die Gerätenummer,SG8,,,,,,Muss,
604,Referenz auf die Gerätenummer,SG8,RFF,,,,,Muss,
605,Referenz auf die Gerätenummer,SG8,RFF,1153,MG,,Gerätenummer desZählers,X,Gerätenummer desZählers
606,Referenz auf die Gerätenummer,SG8,RFF,1154,,,Gerätenummer,X,
607,Kommunikationseinrichtun g,SG10,,,,,,Muss,
608,Kommunikationseinrichtun g,SG10,,,,,,Muss,
609,Kommunikationseinrichtun g,SG10,CCI,,,,,Muss,
610,Kommunikationseinrichtun g,SG10,CCI,7037,Z26,,Kommunikationseinrichtung,X,Kommunikationseinrichtung
611,Identifikation / Nummer des Gerätes,SG10,,,,,,,
612,Identifikation / Nummer des Gerätes,SG10,,,,,,Muss,
613,Identifikation / Nummer des Gerätes,SG10,CAV,,,,,Muss,
614,Identifikation / Nummer des Gerätes,SG10,CAV,7111,Z30,,Gerätenummer,X,Gerätenummer
615,Identifikation / Nummer des Gerätes,SG10,CAV,7110,,,Gerätenummer,X,
616,Kommunikationseinrichtun gstyp,SG10,,,,,,,
617,Kommunikationseinrichtun gstyp,SG10,,,,,,Muss,
618,Kommunikationseinrichtun gstyp,SG10,CAV,,,,,Muss,
619,Kommunikationseinrichtun gstyp,SG10,CAV,7111,GSM,,GSM/GPRS/UMTS-Kom.-Einr.,X,GSM/GPRS/UMTS-Kom.-Einr.
620,Kommunikationseinrichtun gstyp,SG10,CAV,7111,ETH,,Ethernet-Kom.-Einricht.LAN/WLAN,X,
621,Kommunikationseinrichtun gstyp,SG10,CAV,7111,PLC,,PLC-Kom.-Einrichtung,X,
622,Kommunikationseinrichtun gstyp,SG10,CAV,7111,PST,,Festnetz-Kom.-Einricht.TAE,X,
623,Kommunikationseinrichtun gstyp,SG10,CAV,7111,DSL,,DSL-Kom.Einr.,X,
624,Kommunikationseinrichtun gstyp,SG10,CAV,7111,LTE,,LTE-Kom.-Einr.,X,
625,Daten der technischen Steuereinrichtung,SG8,,,,,,Soll [336] ∧[345],
626,Daten der technischen Steuereinrichtung,SG8,,,,,,Soll [336] ∧[345],
627,Daten der technischen Steuereinrichtung,SG8,SEQ,,,,,Muss,
628,Daten der technischen Steuereinrichtung,SG8,SEQ,1229,Z06,,Daten der technischenSteuereinrichtung,X,Daten der technischenSteuereinrichtung
629,Referenz auf die Gerätenummer,SG8,,,,,,,
630,Referenz auf die Gerätenummer,SG8,,,,,,Muss,
631,Referenz auf die Gerätenummer,SG8,RFF,,,,,Muss,
632,Referenz auf die Gerätenummer,SG8,RFF,1153,MG,,Gerätenummer desZählers,X,Gerätenummer desZählers
633,Referenz auf die Gerätenummer,SG8,RFF,1154,,,Gerätenummer,X,
634,Technische Steuereinrichtung,SG10,,,,,,Muss,
635,Technische Steuereinrichtung,SG10,,,,,,Muss,
636,Technische Steuereinrichtung,SG10,CCI,,,,,Muss,
637,Technische Steuereinrichtung,SG10,CCI,7037,Z27,,TechnischeSteuereinrichtung,X,TechnischeSteuereinrichtung
638,Identifikation / Nummer des Gerätes,SG10,,,,,,,
639,Identifikation / Nummer des Gerätes,SG10,,,,,,Muss,
640,Identifikation / Nummer des Gerätes,SG10,CAV,,,,,Muss,
641,Identifikation / Nummer des Gerätes,SG10,CAV,7111,Z30,,Gerätenummer,X,Gerätenummer
642,Identifikation / Nummer des Gerätes,SG10,CAV,7110,,,Gerätenummer,X,
643,Technische Steuereinrichtungstyp,SG10,,,,,,,
644,Technische Steuereinrichtungstyp,SG10,,,,,,Muss,
645,Technische Steuereinrichtungstyp,SG10,CAV,,,,,Muss,
646,Technische Steuereinrichtungstyp,SG10,CAV,7111,RSU,,Rundsteuerempfänger,X,Rundsteuerempfänger
647,Technische Steuereinrichtungstyp,SG10,CAV,7111,TSU,,Tarifschaltuhr,X,
648,Smartmeter-Gateway,SG8,,,,,,Soll [336] ∧[345],
649,Smartmeter-Gateway,SG8,,,,,,Soll [336] ∧[345],
650,Smartmeter-Gateway,SG8,SEQ,,,,,Muss,
651,Smartmeter-Gateway,SG8,SEQ,1229,Z13,,Smartmeter-Gateway,X,Smartmeter-Gateway
