,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
142,Turnusablesung des MSB,SG6,DTM,2379,106,,MMDD,,
143,Referenz auf die Lokationsbündelstruktur,SG6,,,,,,,
144,Referenz auf die Lokationsbündelstruktur,SG6,,,,,,,
145,Referenz auf die Lokationsbündelstruktur,SG6,RFF,,,,,,
146,Referenz auf die Lokationsbündelstruktur,SG6,RFF,1153,Z31,,Lokationsbündelstruktur,,Lokationsbündelstruktur
147,Referenz auf die Lokationsbündelstruktur,SG6,RFF,1153,Z39,,KeinestandardisierteLokationsbündelstruktur vorhanden,,
148,Referenz auf die Lokationsbündelstruktur,SG6,RFF,1154,,,ID derLokationsbündelstruktur,,
149,Zuordnung Lokation zum Objektcode des Lokationsbündels,SG8,,,,,,,
150,Zuordnung Lokation zum Objektcode des Lokationsbündels,SG8,,,,,,,
151,Zuordnung Lokation zum Objektcode des Lokationsbündels,SG8,SEQ,,,,,,
152,Zuordnung Lokation zum Objektcode des Lokationsbündels,SG8,SEQ,1229,Z58,,Zuordnung Lokationzum Objektcode desLokationsbündels,,Zuordnung Lokationzum Objektcode desLokationsbündels
153,Referenz auf die ID der Netzlokation / Marktlokation / Messlokation / Technischen Ressource,SG8,,,,,,,
154,Referenz auf die ID der Netzlokation / Marktlokation / Messlokation / Technischen Ressource,SG8,,,,,,,
155,Referenz auf die ID der Netzlokation / Marktlokation / Messlokation / Technischen Ressource,SG8,RFF,,,,,,
156,Referenz auf die ID der Netzlokation / Marktlokation / Messlokation / Technischen Ressource,SG8,RFF,1153,Z32,,Netzlokation,,Netzlokation
157,Referenz auf die ID der Netzlokation / Marktlokation / Messlokation / Technischen Ressource,SG8,RFF,1153,Z18,,Marktlokation,,
158,Referenz auf die ID der Netzlokation / Marktlokation / Messlokation / Technischen Ressource,SG8,RFF,1153,Z19,,Messlokation,,
159,Referenz auf die ID der Netzlokation / Marktlokation / Messlokation / Technischen Ressource,SG8,RFF,1153,Z37,,TechnischeRessource,,
160,Referenz auf die ID der Netzlokation / Marktlokation / Messlokation / Technischen Ressource,SG8,RFF,1154,,,ID einer Lokation,,
161,Referenz auf den Objektcode in der Lokationsbündelstruktur,SG8,,,,,,,
162,Referenz auf den Objektcode in der Lokationsbündelstruktur,SG8,,,,,,,
163,Referenz auf den Objektcode in der Lokationsbündelstruktur,SG8,RFF,,,,,,
164,Referenz auf den Objektcode in der Lokationsbündelstruktur,SG8,RFF,1153,Z33,,Objektcode derLokation in derLokationsbündelstruktur,,Objektcode derLokation in derLokationsbündelstruktur
165,Referenz auf den Objektcode in der Lokationsbündelstruktur,SG8,RFF,1154,,,Objekt Code,,
166,Referenz auf die ID der vorgelagerten Netzlokation / Messlokation ,SG8,,,,,,,
167,Referenz auf die ID der vorgelagerten Netzlokation / Messlokation ,SG8,,,,,,,
168,Referenz auf die ID der vorgelagerten Netzlokation / Messlokation ,SG8,RFF,,,,,,
169,Referenz auf die ID der vorgelagerten Netzlokation / Messlokation ,SG8,RFF,1153,Z34,,vorgelagerteMesslokation,,vorgelagerteMesslokation
170,Referenz auf die ID der vorgelagerten Netzlokation / Messlokation ,SG8,RFF,1153,Z35,,vorgelagerteNetzlokation,,
171,Referenz auf die ID der vorgelagerten Netzlokation / Messlokation ,SG8,RFF,1154,,,ID einer Lokation,,
172,Referenz auf die der Technischen Ressource zugeordneten Marktlokation ,SG8,,,,,,,
173,Referenz auf die der Technischen Ressource zugeordneten Marktlokation ,SG8,,,,,,,
174,Referenz auf die der Technischen Ressource zugeordneten Marktlokation ,SG8,RFF,,,,,,
175,Referenz auf die der Technischen Ressource zugeordneten Marktlokation ,SG8,RFF,1153,Z16,,zugeordneteMarktlokation,,zugeordneteMarktlokation
176,Referenz auf die der Technischen Ressource zugeordneten Marktlokation ,SG8,RFF,1154,,,ID der Marktlokation,,
177,Daten der Netzlokation,SG8,,,,,,,
178,Daten der Netzlokation,SG8,,,,,,,
179,Daten der Netzlokation,SG8,SEQ,,,,,,
180,Daten der Netzlokation,SG8,SEQ,1229,Z51,,Daten derNetzlokation,,Daten derNetzlokation
181,Referenz auf die ID der Netzlokation,SG8,,,,,,,
182,Referenz auf die ID der Netzlokation,SG8,,,,,,,
183,Referenz auf die ID der Netzlokation,SG8,RFF,,,,,,
184,Referenz auf die ID der Netzlokation,SG8,RFF,1153,Z32,,Netzlokation,,Netzlokation
185,Referenz auf die ID der Netzlokation,SG8,RFF,1154,,,ID der Netzlokation,,
186,Netzanschlussleistung der Netzlokation,SG9,,,,,,,
187,Netzanschlussleistung der Netzlokation,SG9,,,,,,,
188,Netzanschlussleistung der Netzlokation,SG9,QTY,,,,,,
189,Netzanschlussleistung der Netzlokation,SG9,QTY,6063,Z04,,Installierte Leistung,,Installierte Leistung
190,Netzanschlussleistung der Netzlokation,SG9,QTY,6060,,,Netzanschlussleistung,,
191,Netzanschlussleistung der Netzlokation,SG9,QTY,6411,KWT,,Kilowatt,,Kilowatt
192,Steuerkanal,SG10,,,,,,,
193,Steuerkanal,SG10,,,,,,,
194,Steuerkanal,SG10,CCI,,,,,,
195,Steuerkanal,SG10,CCI,7059,Z49,,Steuerkanal,,Steuerkanal
196,Steuerkanal,SG10,CCI,7037,ZF2,,Kein Steuerkanalvorhanden,,Kein Steuerkanalvorhanden
197,Steuerkanal,SG10,CCI,7037,ZF3,,Steuerkanalvorhanden,,
198,Zugeordnete Marktpartner,SG10,,,,,,,
199,Zugeordnete Marktpartner,SG10,,,,,,,
200,Zugeordnete Marktpartner,SG10,CCI,,,,,,
201,Zugeordnete Marktpartner,SG10,CCI,7037,ZB3,,ZugeordneterMarktpartner,,ZugeordneterMarktpartner
202,Messstellenbetreiber,SG10,,,,,,,
203,Messstellenbetreiber,SG10,,,,,,,
204,Messstellenbetreiber,SG10,CAV,,,,,,
205,Messstellenbetreiber,SG10,CAV,7111,Z91,,MSB,,MSB
206,Messstellenbetreiber,SG10,CAV,1131,,,MP-ID,,
207,Produkt-Daten der Netzlokation,SG8,,,,,,,
208,Produkt-Daten der Netzlokation,SG8,,,,,,,
209,Produkt-Daten der Netzlokation,SG8,SEQ,,,,,,
210,Produkt-Daten der Netzlokation,SG8,SEQ,1229,Z60,,Produkt-Daten derNetzlokation,,Produkt-Daten derNetzlokation
211,Referenz auf die ID der Netzlokation,SG8,,,,,,,
212,Referenz auf die ID der Netzlokation,SG8,,,,,,,
213,Referenz auf die ID der Netzlokation,SG8,RFF,,,,,,
214,Referenz auf die ID der Netzlokation,SG8,RFF,1153,Z32,,Netzlokation,,Netzlokation
215,Referenz auf die ID der Netzlokation,SG8,RFF,1154,,,ID einer Netzlokation,,
216,Produkt-Daten der Netzlokation,SG8,,,,,,,
217,Produkt-Daten der Netzlokation,SG8,,,,,,,
218,Produkt-Daten der Netzlokation,SG8,PIA,,,,,,
219,Produkt-Daten der Netzlokation,SG8,PIA,4347,5,,Produktidentifikation,,Produktidentifikation
220,Produkt-Daten der Netzlokation,SG8,PIA,7140,,,Konfigurationsprodukt-Code,,
221,Produkt-Daten der Netzlokation,SG8,PIA,7143,Z12,,Konfigurationsprodukt,,Konfigurationsprodukt
222,Zugeordnete Leistungskurvendefinition,SG10,,,,,,,
223,Zugeordnete Leistungskurvendefinition,SG10,,,,,,,
224,Zugeordnete Leistungskurvendefinition,SG10,CCI,,,,,,
225,Zugeordnete Leistungskurvendefinition,SG10,CCI,7059,Z53,,Code derLeistungskurvendefinition,,Code derLeistungskurvendefinition
226,Zugeordnete Leistungskurvendefinition,SG10,CCI,7037,,,Code derLeistungskurvendefinition,,
227,Auftraggebender Marktpartner,SG10,,,,,,,
228,Auftraggebender Marktpartner,SG10,,,,,,,
229,Auftraggebender Marktpartner,SG10,CCI,,,,,,
230,Auftraggebender Marktpartner,SG10,CCI,7037,ZB3,,ZugeordneterMarktpartner,,ZugeordneterMarktpartner
231,Auftraggebender Marktpartner,SG10,,,,,,,
232,Auftraggebender Marktpartner,SG10,,,,,,,
233,Auftraggebender Marktpartner,SG10,CAV,,,,,,
234,Auftraggebender Marktpartner,SG10,CAV,7111,Z88,,NB,,NB
