Segmentname_FV2310,Segmentgruppe_FV2310,Segment_FV2310,Datenelement_FV2310,Segment ID_FV2310,Code_FV2310,Qualifier_FV2310,Beschreibung_FV2310,Bedingungsausdruck_FV2310,Bedingung_FV2310,Unnamed: 0_FV2310,Änderung,changed_entries,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Qualifier_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Unnamed: 0_FV2404
Schaltzeitänderungszeitpun kt,SG8,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X ([931] [31] ∧ [32] ∧ [33]) ⊻ (([964] ∧ [965] [34]) ∧ [507]),"[31] Wenn im DE2379 dieses Segments der Code 303 vorhanden
[32] Der Zeitpunkt in diesem DE muss ≥ dem Zeitpunkt aus dem DE2380 des Gültigkeitsbeginn der ausgerollten Definition (SG5 DTM+Z34) sein
[33] Der Zeitpunkt in diesem DE muss ≤ dem Zeitpunkt aus dem DE2380 des Gültigkeitsende der ausgerollten Definition (SG5 DTM+Z35) sein
[34] Wenn im DE2379 dieses Segments der Code 401 vorhanden
[507] Hinweis: Es ist die Zeit nach der deutschen gesetzlichen Zeit anzugeben
[931] Format: ZZZ = +00
[964] Format: HHMM ≥ 0000
[965] Format: HHMM ≤ 2359",69,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Schaltzeitänderungszeitpun kt,SG8,DTM,2380,00053,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X ([931] [31] ∧ [32] ∧ [33]) ⊻ (([964] ∧ [965] [34]) ∧ [507]),"[31] Wenn im DE2379 dieses Segments der Code 303 vorhanden
[32] Der Zeitpunkt in diesem DE muss ≥ dem Zeitpunkt aus dem DE2380 des Gültigkeitsbeginn der ausgerollten Definition (SG5 DTM+Z34) sein
[33] Der Zeitpunkt in diesem DE muss ≤ dem Zeitpunkt aus dem DE2380 des Gültigkeitsende der ausgerollten Definition (SG5 DTM+Z35) sein
[34] Wenn im DE2379 dieses Segments der Code 401 vorhanden
[507] Hinweis: Es ist die Zeit nach der deutschen gesetzlichen Zeit anzugeben
[931] Format: ZZZ = +00
[964] Format: HHMM ≥ 0000
[965] Format: HHMM ≤ 2359",69
Schaltzeitänderungszeitpun kt,SG8,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X [50] ∧ [528],,70,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Schaltzeitänderungszeitpun kt,SG8,DTM,2379,00053,303,,CCYYMMDDHHMMZZZ,X [50] ∧ [528],,70
Schaltzeitänderungszeitpun kt,SG8,DTM,2379,,401,,HHMM,X [50] ∧ [527],"[50] In jedem DE2379 dieses DTM-Segments innerhalb eines IDE+24 (Vorgangs) muss der gleiche Code angegeben werden
[527] Hinweis: Dieser Code ist anzugeben, wenn es sich um eine einmalig zu übermittelnde Definition handelt
[528] Hinweis: Dieser Code ist anzugeben, wenn es sich um eine jährlich zu übermittelnde Definition handelt",71,,,Schaltzeitänderungszeitpun kt,SG8,DTM,2379,,401,,HHMM,X [50] ∧ [527],"[50] In jedem DE2379 dieses DTM-Segments innerhalb eines IDE+24 (Vorgangs) muss der gleiche Code angegeben werden
[527] Hinweis: Dieser Code ist anzugeben, wenn es sich um eine einmalig zu übermittelnde Definition handelt
[528] Hinweis: Dieser Code ist anzugeben, wenn es sich um eine jährlich zu übermittelnde Definition handelt",71
Schalthandlung an der Lokation,SG9,,,,,,,Muss,,72,,,Schalthandlung an der Lokation,SG9,,,,,,,Muss,,72
Schalthandlung an der Lokation,SG9,CCI,,,,,,Muss,,73,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Schalthandlung an der Lokation,SG9,CCI,,00057,,,,Muss,,73
Schalthandlung an der Lokation,SG9,CCI,7059,,Z58,,Schalthandlung,X,,74,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Schalthandlung an der Lokation,SG9,CCI,7059,00057,Z58,,Schalthandlung,X,,74
Schalthandlung an der Lokation,SG9,CCI,7037,,ZF4,,Leistung an der Lokation an,X,,75,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Schalthandlung an der Lokation,SG9,CCI,7037,00057,ZF4,,Leistung an der Lokation an,X,,75
Schalthandlung an der Lokation,SG9,CCI,7037,,ZF5,,Leistung an der Lokation aus,X,,76,,,Schalthandlung an der Lokation,SG9,CCI,7037,,ZF5,,Leistung an der Lokation aus,X,,76
Nachrichten-Endesegment,,UNT,,,,,,Muss,,77,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Nachrichten-Endesegment,,UNT,,00064,,,,Muss,,77
Nachrichten-Endesegment,,UNT,0074,,,,Anzahl der Segmente in einer Nachricht,X,,78,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Nachrichten-Endesegment,,UNT,0074,00064,,,Anzahl der Segmente in einer Nachricht,X,,78
Nachrichten-Endesegment,,UNT,0062,,,,Nachrichten-Referenznummer,X,,79,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Nachrichten-Endesegment,,UNT,0062,00064,,,Nachrichten-Referenznummer,X,,79
