Segmentname_FV2310,Segmentgruppe_FV2310,Segment_FV2310,Datenelement_FV2310,Segment ID_FV2310,Code_FV2310,Qualifier_FV2310,Beschreibung_FV2310,Bedingungsausdruck_FV2310,Bedingung_FV2310,Unnamed: 0_FV2310,Änderung,changed_entries,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Qualifier_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Unnamed: 0_FV2404
Zeitreihentyp,SG10,CAV,7111,,,,Code des Zeitreihentyps,X,,85,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Zeitreihentyp,SG10,CAV,7111,00432,,,Code des Zeitreihentyps,X,,85
Datenstatus zur Zeitreihe für Bilanzkreissummen,SG10,,,,,,,Muss [47],[47] Wenn SG10 CCI+15++Z21 (Summenzeitreihentyp) CAV+DBA/ VZR/ EGS/ LGS/ SLS/ SES/ TLS/ TES/ BIL/ BIP/ BIT/ GAL/ GAP/ GAT/ GEL/ GEP/ GET/ SOL/ SOP/ SOT/ WFL/ WFP/ WFT/ WNL/ WNP/ WNT vorhanden,86,,,Datenstatus zur Zeitreihe für Bilanzkreissummen,SG10,,,,,,,Muss [47],[47] Wenn SG10 CCI+15++Z21 (Summenzeitreihentyp) CAV+DBA/ VZR/ EGS/ LGS/ SLS/ SES/ TLS/ TES/ BIL/ BIP/ BIT/ GAL/ GAP/ GAT/ GEL/ GEP/ GET/ SOL/ SOP/ SOT/ WFL/ WFP/ WFT/ WNL/ WNP/ WNT vorhanden,86
Datenstatus zur Zeitreihe für Bilanzkreissummen,SG10,CCI,,,,,,Muss,,87,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Datenstatus zur Zeitreihe für Bilanzkreissummen,SG10,CCI,,00438,,,,Muss,,87
Datenstatus zur Zeitreihe für Bilanzkreissummen,SG10,CCI,7059,,Z25,,Datenstatus zur Zeitreihe,X,,88,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Datenstatus zur Zeitreihe für Bilanzkreissummen,SG10,CCI,7059,00438,Z25,,Datenstatus zur Zeitreihe,X,,88
Datenstatus zur Zeitreihe für Bilanzkreissummen,SG10,CCI,7037,,Z01,,Abrechnungsdaten,X,,89,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Datenstatus zur Zeitreihe für Bilanzkreissummen,SG10,CCI,7037,00438,Z01,,Abrechnungsdaten,X,,89
Datenstatus zur Zeitreihe für Bilanzkreissummen,SG10,CCI,7037,,Z03,,Abgerechnete Daten,X,,90,,,Datenstatus zur Zeitreihe für Bilanzkreissummen,SG10,CCI,7037,,Z03,,Abgerechnete Daten,X,,90
Datenstatus zur Zeitreihe für Bilanzkreissummen,SG10,CCI,7037,,Z04,,Abrechnungsdaten Korrektur-BKA,X,,91,,,Datenstatus zur Zeitreihe für Bilanzkreissummen,SG10,CCI,7037,,Z04,,Abrechnungsdaten Korrektur-BKA,X,,91
Datenstatus zur Zeitreihe für Bilanzkreissummen,SG10,CCI,7037,,ZA5,,Abgerechnete Daten Korrektur-BKA,X,,92,,,Datenstatus zur Zeitreihe für Bilanzkreissummen,SG10,CCI,7037,,ZA5,,Abgerechnete Daten Korrektur-BKA,X,,92
Produkt-Daten der Summenzeitreihe,SG8,,,,,,,Muss [2080] ∧ [304],"[304] Wenn SG8 SEQ+Z22 (Daten der Summenzeitreihe) vorhanden
[2080] Segmentgruppe ist max. zweimal je SG4 IDE+24 (Vorgang) anzugeben",93,,,Produkt-Daten der Summenzeitreihe,SG8,,,,,,,Muss [2080] ∧ [304],"[304] Wenn SG8 SEQ+Z22 (Daten der Summenzeitreihe) vorhanden
[2080] Segmentgruppe ist max. zweimal je SG4 IDE+24 (Vorgang) anzugeben",93
Produkt-Daten der Summenzeitreihe,SG8,SEQ,,,,,,Muss,,94,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Produkt-Daten der Summenzeitreihe,SG8,SEQ,,00440,,,,Muss,,94
Produkt-Daten der Summenzeitreihe,SG8,SEQ,1229,,Z23,,Produkt-Daten der Summenzeitreihe,X,,95,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Produkt-Daten der Summenzeitreihe,SG8,SEQ,1229,00440,Z23,,Produkt-Daten der Summenzeitreihe,X,,95
Produktidentifikation der Summenzeitreihe,SG8,PIA,,,,,,Muss,,96,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Produktidentifikation der Summenzeitreihe,SG8,PIA,,00441,,,,Muss,,96
Produktidentifikation der Summenzeitreihe,SG8,PIA,4347,,5,,Produktidentifikation,X,,97,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Produktidentifikation der Summenzeitreihe,SG8,PIA,4347,00441,5,,Produktidentifikation,X,,97
Produktidentifikation der Summenzeitreihe,SG8,PIA,7140,,,,Produktidentifikation der Summenzeitreihe,X,,98,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Produktidentifikation der Summenzeitreihe,SG8,PIA,7140,00441,,,Produktidentifikation der Summenzeitreihe,X,,98
Produktidentifikation der Summenzeitreihe,SG8,PIA,7143,,SRW,,OBIS-Kennzahl,X,,99,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Produktidentifikation der Summenzeitreihe,SG8,PIA,7143,00441,SRW,,OBIS-Kennzahl,X,,99
Energiemenge,SG9,,,,,,,Muss,,100,,,Energiemenge,SG9,,,,,,,Muss,,100
Energiemenge,SG9,QTY,,,,,,Muss,,101,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Energiemenge,SG9,QTY,,00442,,,,Muss,,101
Energiemenge,SG9,QTY,6063,,79,,"Energiemenge summiert (Summenwert, Bilanzsumme)",X,,102,ÄNDERUNG,Segment ID_FV2310|Segment ID_FV2404,Energiemenge,SG9,QTY,6063,00442,79,,"Energiemenge summiert (Summenwert, Bilanzsumme)",X,,102
