Segmentname_FV2310,Segmentgruppe_FV2310,Segment_FV2310,Datenelement_FV2310,Segment ID_FV2310,Code_FV2310,Qualifier_FV2310,Beschreibung_FV2310,Bedingungsausdruck_FV2310,Bedingung_FV2310,Unnamed: 0_FV2310,Änderung,changed_entries,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Qualifier_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Unnamed: 0_FV2404
Zertifikatsnutzer (Subject),SG29,FTX,,00117,,,,Muss [564],[564] Hinweis: Für den Empfang der Werte nach Typ 2 aus dem SMGW.,124,,,Zertifikatsnutzer (Subject),SG29,FTX,,00117,,,,Muss [564],[564] Hinweis: Für den Empfang der Werte nach Typ 2 aus dem SMGW.,124
Zertifikatsnutzer (Subject),SG29,FTX,4451,00117,,,,Z23,,125,,,Zertifikatsnutzer (Subject),SG29,FTX,4451,00117,,,,Z23,,125
Zertifikatsnutzer (Subject),SG29,FTX,4440,00117,,,Zertifikatsnutzer,X [967],"[967] Format: Zertifikatskörper gemäß X509.1, BSI TR-03109-4",126,,,Zertifikatsnutzer (Subject),SG29,FTX,4440,00117,,,Zertifikatsnutzer,X [967],"[967] Format: Zertifikatskörper gemäß X509.1, BSI TR-03109-4",126
Änderungsmöglichkeit der Konfiguration im SMGW,SG30,,,,,,,Muss,,127,,,Änderungsmöglichkeit der Konfiguration im SMGW,SG30,,,,,,,Muss,,127
Änderungsmöglichkeit der Konfiguration im SMGW,SG30,CCI,,00119,,,,Muss,,128,,,Änderungsmöglichkeit der Konfiguration im SMGW,SG30,CCI,,00119,,,,Muss,,128
Änderungsmöglichkeit der Konfiguration im SMGW,SG30,CCI,7059,00119,Konfiguration im SMGW,,,Z54,,129,,,Änderungsmöglichkeit der Konfiguration im SMGW,SG30,CCI,7059,00119,Konfiguration im SMGW,,,Z54,,129
Änderungsmöglichkeit der Konfiguration im SMGW,SG30,CCI,7037,00119,ZF7,,selbstständige Änderungsmöglichkeit erforderlich,X,,130,,,Änderungsmöglichkeit der Konfiguration im SMGW,SG30,CCI,7037,00119,ZF7,,selbstständige Änderungsmöglichkeit erforderlich,X,,130
Änderungsmöglichkeit der Konfiguration im SMGW,SG30,CCI,7037,,ZF8,,selbstständige Änderungsmöglichkeit nicht erforderlich,X,,131,,,Änderungsmöglichkeit der Konfiguration im SMGW,SG30,CCI,7037,,ZF8,,selbstständige Änderungsmöglichkeit nicht erforderlich,X,,131
Schwellwerte,SG30,,,,,,,Muss [2065] ∧ [142],"[142] Wenn innerhalb derselben SG29 LIN im PIA+5 DE7140 (Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW) ein Produkt angegeben ist, das in der Codeliste der Konfigurationen im Kapitel 4.4 „Messprodukte mit Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW“ in der Spalte ""Auslöser"" mit dem Wert ""Bei Schwellwertunter- / - überschreitung"" gekennzeichnet ist.
[2065] Diese SG30 ist so oft zu wiederholen, wie zu den unterschiedlichen Messprodukt- Position-Codes zu dem innerhalb derselben SG29 LIN im PIA+5 DE7140 (Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW) angegebenen Produkt ein Produkt angegeben ist, das in der Codeliste der Konfigurationen im Kapitel 4.4 „Messprodukte mit Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW“ in der Spalte ""Auslöser"" mit dem Wert ""Bei Schwellwertunter- / - überschreitung"" gekennzeichnet ist.",132,,,Schwellwerte,SG30,,,,,,,Muss [2065] ∧ [142],"[142] Wenn innerhalb derselben SG29 LIN im PIA+5 DE7140 (Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW) ein Produkt angegeben ist, das in der Codeliste der Konfigurationen im Kapitel 4.4 „Messprodukte mit Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW“ in der Spalte ""Auslöser"" mit dem Wert ""Bei Schwellwertunter- / - überschreitung"" gekennzeichnet ist.
[2065] Diese SG30 ist so oft zu wiederholen, wie zu den unterschiedlichen Messprodukt- Position-Codes zu dem innerhalb derselben SG29 LIN im PIA+5 DE7140 (Erforderliches Produkt Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW) angegebenen Produkt ein Produkt angegeben ist, das in der Codeliste der Konfigurationen im Kapitel 4.4 „Messprodukte mit Konfigurationserlaubnis für Werte nach Typ 2 aus SMGW“ in der Spalte ""Auslöser"" mit dem Wert ""Bei Schwellwertunter- / - überschreitung"" gekennzeichnet ist.",132
Schwellwerte,SG30,CCI,,00120,,,,Muss,,133,,,Schwellwerte,SG30,CCI,,00120,,,,Muss,,133
Schwellwerte,SG30,CCI,7059,00120,,,,Z60,,134,,,Schwellwerte,SG30,CCI,7059,00120,,,,Z60,,134
Schwellwerte,SG30,CCI,7037,00120,,,Messprodukt-Position-Code,X [141],"[141] Es sind nur die Messprodukt-Position-Codes erlaubt, die in der Codeliste der Konfigurationen im Kapitel 4.7 „Art der Werte für Messprodukte nach Typ 2“ enthalten sind.",135,,,Schwellwerte,SG30,CCI,7037,00120,,,Messprodukt-Position-Code,X [141],"[141] Es sind nur die Messprodukt-Position-Codes erlaubt, die in der Codeliste der Konfigurationen im Kapitel 4.7 „Art der Werte für Messprodukte nach Typ 2“ enthalten sind.",135
Schwellwerte,SG30,CCI,7036,00120,,,oberer Schwellwert,X [906] ∧ [962],"[906] Format: max. 3 Nachkommastellen
[962] Format: max. 6 Vorkommastellen",136,,,Schwellwerte,SG30,CCI,7036,00120,,,oberer Schwellwert,X [906] ∧ [962],"[906] Format: max. 3 Nachkommastellen
[962] Format: max. 6 Vorkommastellen",136
Schwellwerte,SG30,CCI,7036,00120,,,unterer Schwellwert,X [906] ∧ [962],"[906] Format: max. 3 Nachkommastellen
[962] Format: max. 6 Vorkommastellen",137,,,Schwellwerte,SG30,CCI,7036,00120,,,unterer Schwellwert,X [906] ∧ [962],"[906] Format: max. 3 Nachkommastellen
[962] Format: max. 6 Vorkommastellen",137
Abschnitts-Kontrollsegment,,UNS,,00123,,,,Muss,,138,,,Abschnitts-Kontrollsegment,,UNS,,00123,,,,Muss,,138
Abschnitts-Kontrollsegment,,UNS,0081,00123,und Summenteil,,,S,,139,,,Abschnitts-Kontrollsegment,,UNS,0081,00123,und Summenteil,,,S,,139
Nachrichten-Endesegment,,UNT,,00125,,,,Muss,,140,,,Nachrichten-Endesegment,,UNT,,00125,,,,Muss,,140
Nachrichten-Endesegment,,UNT,0074,00125,,,Anzahl der Segmente in einer Nachricht,X,,141,,,Nachrichten-Endesegment,,UNT,0074,00125,,,Anzahl der Segmente in einer Nachricht,X,,141
Nachrichten-Endesegment,,UNT,0062,00125,,,Nachrichten-Referenznummer,X,,142,,,Nachrichten-Endesegment,,UNT,0062,00125,,,Nachrichten-Referenznummer,X,,142
